Id,Facility Name,Facility Type,Location,Capacity,Availability Start,Availability End
BC-01,Badminton Court 1,Badminton,Zone A - 2nd Floor,4,10/10/2025 8:00,10/10/2025 9:00
MFF-01,Mini Football Field,Football,Zone B - Outdoor Area,10,10/10/2025 17:00,10/10/2025 18:30
ASP-01,Adult Swimming Pool,Swimming Pool,Zone C - Ground Floor,30,10/11/2025 6:00,10/11/2025 7:00
BC-02,Badminton Court 2,Badminton,Zone A - 2nd Floor,4,10/11/2025 10:00,10/11/2025 11:00
MFF-01,Mini Football Field,Football,Zone B - Outdoor Area,10,10/11/2025 19:00,10/11/2025 20:30
KSP-01,Kids Swimming Pool,Swimming Pool,Zone C - Ground Floor,20,10/12/2025 8:00,10/12/2025 9:00
TC-01,Tennis Court 1,Tennis,Zone D - 1st Floor,2,10/12/2025 7:00,10/12/2025 8:00
TC-02,Tennis Court 2,Tennis,Zone D - 1st Floor,2,10/13/2025 9:00,10/13/2025 10:00
TTA-01,Table Tennis Area 1,Table Tennis,Zone E - Ground Floor,2,10/13/2025 14:00,10/13/2025 15:00
BC-03,Badminton Court 3,Badminton,Zone A - 2nd Floor,4,10/13/2025 15:00,10/13/2025 16:00
MFF-01,Mini Football Field,Football,Zone B - Outdoor Area,10,10/14/2025 6:00,10/14/2025 7:00
ASP-01,Adult Swimming Pool,Swimming Pool,Zone C - Ground Floor,30,10/14/2025 8:00,10/14/2025 9:00
TC-03,Tennis Court 3,Tennis,Zone D - 1st Floor,2,10/14/2025 9:00,10/14/2025 10:00
TTA-02,Table Tennis Area 2,Table Tennis,Zone E - Ground Floor,2,10/14/2025 10:00,10/14/2025 11:00
BC-04,Badminton Court 4,Badminton,Zone A - 2nd Floor,4,10/15/2025 12:00,10/15/2025 13:00
MFF-01,Mini Football Field,Football,Zone B - Outdoor Area,10,10/15/2025 13:00,10/15/2025 14:00
KSP-01,Kids Swimming Pool,Swimming Pool,Zone C - Ground Floor,20,10/15/2025 14:00,10/15/2025 15:00
TC-04,Tennis Court 4,Tennis,Zone D - 1st Floor,2,10/15/2025 15:00,10/15/2025 16:00
